67525	Связанные любовью	(Айви Александра)	У племени Серебряного тумана дурная слава, а у воина Арьяла - наихудшая репутация. Чтобы спасти свой народ, он идет на службу к предводительнице жестоких врагов. Прошли годы, и наконец Арьял обрел свободу. Теперь на его пути новое испытание - прекрасная воительница Джелин. Долг обязывает Арьяла уничтожить ее, однако сердце, впервые плененное любовью, подсказывает иное: он должен спасти девушку, несмотря на древнее зловещее пророчество, сулящее гибель. Но разве подлинная страсть верит в пророчества?..		
857	Леди и лев	(Керк Синтия)	Дилан Пирс, которого все считали многоопытным обольстителем, поклялся, что ни одной женщине не удается заманить его в свои сети. Однако неожиданная встреча с прекрасной и гордой Шарлоттой Фэрчайэлд раз и навсегда изменила его жизнь - изменила так, как это может сделать лишь настоящая любовь настоящего мужчины. Отныне он готов на все лишь бы зажечь в сердце возлюбленной пламя ответной страсти.		
3866	Опасный обман	(Керстен Линн)	Лорд Джаррет Деринг, игрок и авантюрист, и Кэт Фолшо, актриса-танцовщица, встречаются в таинственном поместье, где развлекаются пресыщенные аристократы... Но Деринг и Кэт — вовсе не участники оргий. Они здесь с некоей тайной миссией и должны изображать любовников... Опасный обман? Возможно. Но если он достигает цели и оборачивается глубоким истинным чувством, это победа!		
6874	Бегство из-под венца	(Кинг Карен)	Кто бы мог догадаться, что под маской молодого карточного шулера, разорявшего завсегдатаев престижных клубов Лондона, скрывается прелестная американка Лидия Хамилтон, намеренная жестоко отомстить всем мужчинам за предательство жениха? Единственный, кому Лидия решила довериться - это дерзкий и смелый до безумия Виктор Барталетт, граф Уэдмонт. Поначалу Виктор готов был вести себя как джентльмен, но долг и благородство не выдерживают борьбы с пламенной страстью...		
3968	Благородный разбойник	(Кинсейл Лора)	Благородный разбойник по прозвищу Аллегрето намерен вернуть себе положение в высшем свете, которое должен занимать по праву рождения! И если ему придется обольстить прекрасную Элайн Монтеверде - что ж, Аллегрето привык использовать женщин в своих опасных играх! Однако на этот раз искушенный соблазнитель может пораниться собственным оружием - и влюбиться страстно, пылко, до безумия!..		
5925	Робкая магия	(Кинсейл Лора)	Юная Родерика Деламор всегда знала — дар читать чужие мысли принесет ей лишь одиночество и страдания. Кто возьмет в жены «ведьму»? Лишь тот, кого молва также не обошла стороной. Обедневший ирландский аристократ Фэлен Савигар, прозванный Дьяволом, увидел в Родерике ту, о ком страстно мечтал всю жизнь. И теперь ни земные, ни высшие силы не помешают ему завоевать сердце этой девушки!..		
5265	Если осмелишься	(Коул Кресли)	Гордая кастильская аристократка Аннелия Лоренте презирала отчаянного шотландского воина Корта Маккаррика. А бесстрашный горец увидел в ней женщину, предназначенную ему самой судьбой. Однако согласно таинственному древнему пророчеству, той, кого Корт дерзнет полюбить всем сердцем, суждено принести ему несчастье… Но — чего стоит жизнь настоящего мужчины, если в ней нет места любви? И Корт, угадавший за холодностью Аннелии нежную и пламенную душу, готов на все, чтобы пробудить в ней ответную страсть!		
7477	Цена наслаждения	(Коул Кресли)	Десять лет назад капитан Грант Сазерленд поклялся умирающему старшему другу, что отыщет его внучку, бесследно пропавшую на островах Океании, и станет ее опекуном и защитником. Десять лет понадобилось Гранту, чтобы исполнить свою клятву - и понять, что юная Виктория Дирборн не нуждается в опекуне! Независимая, своенравная красавица хочет от Гранта не защиты и покровительства, но - любови! Страстной и пылкой любви, которую отважный моряк всегда считал слабостью - и которая теперь станет смыслом его жизни...		
927	Рыцарское слово	(Коул Кэндис)	Далекие и суровые времена... Времена, когда каждый английский замок – в руках победителей-норманнов. Времена, когда каждая английская красавица – невеста беспощадного завоевателя. Переодеться в простую крестьянку? Юная леди Адриенна полагает, что только так избежит брачного союза с жестоким и обольстительным Люсьеном. Но и крестьянка может полюбить и принять от возлюбленного клятву верности. Принять, еще не подозревая, что ее сердце пленил именно тот, кого ей следует страшиться и ненавидеть...		
971	Строптивая невеста	(Коултер Кэтрин)	На Ямайке красавица София Стентон-Гревиль пользовалась известностью женщины весьма свободного поведения и точно целью задалась подтвердить свою сомнительную славу. Иначе зачем бы ей упорно пытаться соблазнить молодого английского аристократа Райдера Шербрука? Однако чем дальше, тем больше подозревает Райдер, что под маской легкомысленной обольстительницы скрывается чистая и невинная девушка, затеявшая рискованную игру с непонятной пока для него целью...		
980	Загадочная незнакомка	(Крейг Эмма)	Юная красавица Софи Мадригал могла прочитать по руке судьбу любого обитателя Дикого Запада... но однажды увидела на ладони сурового и безжалостного Габриэля Кэйна... СВОЕ ИМЯ! Быть может, это обман? Но судьба не лжет! Значит, само небо предназначило Софи ответить на страсть мужчины, непривычного к нежности и ласке. Отчаянный храбрец, не ведавший страха, он только теперь вынужден учиться ЛЮБИТЬ и ЗАЩИЩАТЬ.		
991	Идеальная любовница	(Крэн Бетина)	Габриэлла Леко, дочь известной лондонской куртизанки, жаждет понимания, уважения и любви, а, главное – мечтает стать замужней женщиной, тогда как мать желает найти ей всего лишь богатого и влиятельного покровителя. Но судьба распоряжается так, что девушка встречает виконта Пирса Сент-Джеймса, молодого аристократа, которому ненавистно лицемерие викторианской Англии. Молодые люди становятся идеальными сообщниками в задуманной ими интриге, которая непременно вызовет грандиозный скандал…		
3097	Нежное прикосновение	(Крэн Бетина)	Юная Даймонд Вингейт, которую буквально осаждали поклонники, стояла перед нелегкой проблемой: как угадать в толпе воздыхателей того единственного, кому нужно не доставшееся ей по наследству огромное состояние, а ее пылкое, нежное сердце? Возможно, этим единственным окажется грубоватый, независимый бизнесмен Макквайд, пытающийся покорить Даймонд не светским лоском аристократических манер, но обаянием подлинной мужественности и неподкупностью искреннего чувства?...		
992	Экзамен для мужа	(Крэн Бетина)	Граф Уитмор устал от вереницы случайных женщин - и мечтал ввести в свой дом любимую жену, которая красотой и нежностью согреет его жизнь. Однако сердце мужественного рыцаря покорила дева, готовая дать обет безбрачия и навеки остаться в монастыре - юная послушница Элоиза. Она - и только она - суждена графу самим небом, и никакие законы не в силах остановить мужчину, познавшего силу подлинной страсти...		
20921	Без вуали	(Кук Кристина)	Хейден Морленд, граф Уэстфилд во что бы то ни стало намерен жениться. Девочке, чьим опекуном он является, нужна воспитательница, а ему самому — хозяйка дома и женщина, способная родить наследника. Никто не подходит на эту роль лучше, чем Джейн Роузмур. Но на лестное предложение графа ответили решительным отказом. Поначалу Хейден вне себя от ярости. Однако постепенно его гнев сменяется охотничьим азартом. Добром, хитростью или силой он заставит Джейн стать его женой. С ним, и только с ним, эта гордячка испытает все радости подлинной страсти!		
8120	Женитьба повесы	(Кук Кристина)	Легкомысленный повеса Колин Розмур, обвиненный в нечестной игре, понимает что единственный шанс восстановить репутацию - это удачно жениться. Красавица Бренна Маклахлан богата, умна, держит свое поместье в своих крепких руках, и кажется ее совсем не интересуют мужчины. Так что же ожидает Розмура в будущем - брак по расчету или глубокое,страстное чувство?...		
6863	Неодолимое влечение	(Кук Кристина)	Начинающему политику нужна подходящая невеста - богатая аристократка из семьи, обладающей прочными связями в парламенте. Но почему тогда Генри Эштона неодолимо влечет к ехидной и дерзкой Люси Аббингтон, мечтающей сделать карьеру и стать независимой? О браке не может быть и речи. Незаконная связь - а почему бы и нет? Но Люси упрямо отвергает ухаживания Генри, смеется над его страстью и с наслаждением доводит до бешенства. Любовь? Война! Так кто же сдастся первым?..		
38157	Непокорная жена	(Кук Кристина)	Легкомысленный Фредерик Стоунем прекрасно понимает, что должен жениться, дабы обзавестись наследником. Однако где найти жену, которая не мешала бы ему вести привычный развеселый образ жизни? Конечно, в провинции! Юную леди Элинор Фредерик помнит ещё неловкой, угловатой девочкой. Она наверняка не станет вмешиваться в дела супруга. Однако Элинор давно уже не «гадкий утенок», над детской любовью которого когда-то посмеивался Стоунем. Эта гордая красавица не намерена впускать лондонского повесу ни в свое сердце, ни в свою постель, пока он не докажет ей всю искренность чувств…		
1001	Вслед за луной	(Кук Линда)	Это – история о женщине, которая избегала соблазнов, но однажды была вынуждена довериться самому опасному мужчине Англии... Это – история о мужчине, который поклялся не выбирать средств в борьбе за титул и фамильный замок, но однажды понял, что любовь к женщине – важнее гордости и амбиций... Это – история мужчны и женщины, которые любили друг друга пламенно, страстно и неодолимо. Любили наперекор опасности, угрожавшей не только их счастью, но и их жизни...		
1002	Ночные костры	(Кук Линда)	Прелестная Алиса Мирбо, предназначенная в жены мужественному рыцарю Раймону де Базену, отказывалась поверить в искренность чувств жениха, ибо имела все основания подозревать его в желании выведать старинную семенную тайну – тайну, которую она поклялась сохранять любой ценой. Однако жизни Алисы угрожает клинок таинственного убийцы, и именно Раймон становится для девушки единственным защитником – защитником, готовым снова и снова рисковать собой во имя спасения своей возлюбленной...		
1013	Маленький скандал	(Кэбот Патриция)	Может ли истинный джентльмен денно и нощно мечтать об объятиях... компаньонки собственной юной дочери? Может, если джентльмен этот – мужественный маркиз Берк Трэхерн. Может ли скромная, достойная девушка втайне желать... отдаться возлюбленному душой и телом? Может, если девушка эта – прелестная и гордая Кейт Мейхью. Итак, очередной "маленький скандал" в лондонском свете? Или все-таки НАСТОЯЩАЯ ЛЮБОВЬ, не знающая никаких преград?...		
1014	Портрет моего сердца	(Кэбот Патриция)	Они выросли вместе – долговязая Мэгги Герберт и самоуверенный хулиган Джереми Ролингз. Встретившись, после пяти лет учебы, они неожиданно обнаружили, что очень нравятся друг другу. Забылись былые потасовки, унижения и детские игры, теперь они – мужчина и женщина. Но они вновь были вынуждены расстаться – слишком уж молоды они были, и слишком уж много у обоих амбиций. Он отправился на войну, она в художественную школу в Париж. Прошли годы, но узнав о ее помолвке, он – герой войны, овеянный славой и слухами красавец, возвращается из далекой Индии, чтобы отомстить "неверной" красавице за измену…		
1015	Поцелуйте невесту, милорд!	(Кэбот Патриция)	Блестящий Джеймс Марбери, граф Денем, вовсе не отличался ни ханжеством, ни пуританством. Почему же в такую ярость привели светского повесу побег и венчание подруги детства? Почему же он так счастлив услышать, что вскоре после свадьбы Эмма стала вдовой? Что это – оскорбленная гордость отвергнутого мужчины? Или наконец-то появившаяся надежда на счастье любви, ВОЗРОЖДЕННОЙ ИЗ ПЕПЛА УТРАТЫ?.. Джеймс знает одно – ТЕПЕРЬ он покорит прекрасную Эмму ЛЮБОЙ ЦЕНОЙ!		
1016	Пьянящий аромат	(Кэбот Патриция)	Какая женщина могла противостоять чарам лорда Эдварда Роулинза – беспутного повесы и великосветского обольстителя, повернуть против знаменитого ловеласа его же собственное оружие и обратить в пылкого влюбленного, впервые в жизни сгорающего от страсти? Только Пегги Макдугал, зеленоглазая красавица, скрывавшая под маской старой девы и синего чулка острый язычок, затаенное пламя желаний и тайную жажду счастья. Именно ей суждено стать достойной противницей лорда в любовной "дуэли" и навеки завоевать его сердце...		
1017	Целомудрие и соблазн	(Кэбот Патриция)	Когда леди Кэролайн Линфорд увидела своего жениха в объятиях другой женщины, первым ее побуждением было разорвать помолвку с красавцем-маркизом. Но почтенная матушка обманутой невесты и слышать об этом не пожелала: эка невидаль, мужская неверность! Кэролайн поняла, что к возникшей проблеме придется подойти с другой стороны, и целомудренная благонравная девушка обратилась за помощью к цепкому коммерсанту, поднявшемуся из лондонских низов, Брендану Грэнвиллу, потому что у этого опасного мужчины, кроме прозвища за меткую стрельбу Мертвяк Десятка Грэнвилл, был еще и вызывающий у всех мужчин зависть титул Лондонского Сердцееда и слава непревзойденного обольстителя, что было уж совсем непонятно мисс Линфорд, учитывая довольно устрашающую внешность Грэнвилла. Но мистер Грэнвилл решительно отказался научить невинную девицу уловкам обольстительницы. А буквально через несколько часов вдруг неожиданно согласился. Почему? Преследует свою собственную цель? Или тщетно пытается понять, почему он вдруг утратил решимость и железную волю, бывшие неотъемлемыми чертами его характера, и что означает полуобморочное состояние, в которое он впал, стоило ему заглянуть в ясные карие глаза Кэролайн?...		
1018	Эти синие глаза	(Кэбот Патриция)	Бренна не могла прийти в себя от ярости — все ее планы рухнули лишь потому, что какой-то лондонский повеса решил удалиться от светской суеты в шотландскую глушь! Синеглазая красавица поклялась, что заставит виновника своих неудач доктора Рейли Стэнтона горько пожалеть о принятом решении и объявила ему войну! Однако скоро — увы, слишком скоро! — Бренна поняла, что сражаться в этой войне придется против благородного человека, настоящего мужчины, страстно ее полюбившего и готового на все, лишь бы пробудить в ней ответное чувство…		
3992	Вершина счастья	(Кэмп Кэндис)	Джереми Девлин проклинал судьбу, которая забросила его на край света, на невольничий рынок. Однако все изменилось, едва он увидел свою новую хозяйку. Он стал ее слугой и властелином сердца. А она оказалась невольницей своих чувств. Любовь и ненависть связали их в единое целое. И отныне их отношения определяли гордость и страсть, презрение и сочувствие, вера и отчаяние... Что победит? Что окажется сильнее - разум, предрассудки, или чувство?		
