Дэн Абнетт	Триумф. Герой Её Величества	авторская книга, 2011 год
Алекс Орлов	Фактор превосходства	авторская книга, 2009 год
Алекс Орлов	Золотой воин	авторская книга, 2008 год
Алекс Орлов	Его сиятельство Каспар Фрай	авторская книга, 2008 год
Алекс Орлов	Солдат чужой войны	авторская книга, 2005 год
Алекс Орлов	Бронебойщик	авторская книга, 2011 год
Алекс Орлов	Шварцкау	авторская книга, 2011 год
Алекс Орлов	Дискорама	авторская книга, 2012 год
Елена Бычкова и Наталья Турчанинова	Иногда они умирают	авторская книга, 2012 год
Роберт Джордан	Нож сновидений	авторская книга, 2009 год
Роберт Джордан	Перекрестки сумерек	авторская книга, 2006 год
Роберт Джордан	Сердце Зимы	авторская книга, 2003 год
Алекс Орлов	Перехват	авторская книга, 2012 год
Вероника Иванова	Раскрыть ладони	авторская книга, 2007 год
Сергей Фрумкин	Улей	авторская книга, 2005 год
Павел Корнев	Там, где тепло	авторская книга, 2012 год
Павел Корнев	Ледяная цитадель	авторская книга, 2011 год
Константин Костинов	Ксенотанское зерно	авторская книга, 2012 год
Джеймс Клеменс	Хроники убийцы богов. Книга 2: Дар сгоревшего бога	авторская книга, 2010 год
Вадим Панов	Кардонийская петля	авторская книга, 2013 год
Роберт Джордан	Надвигается буря	авторская книга, 2013 год
Алексей Черненко	Лорд Дарк: Ученик	авторская книга, 2012 год
Алексей Черненко	Лорд Дарк. Колдун	авторская книга, 2013 год
Андрей Уланов	День револьвера	авторская книга, 2009 год
Андрей Уланов	И вся федеральная конница	авторская книга, 2006 год
Алекс Орлов	Острова	авторская книга, 2013 год
Павел Корнев	Лед. Чистильщик	авторская книга, 2013 год
Брендон Сандерсон	Пепел и сталь	авторская книга, 2010 год
Нил Гейман	The Sandman. Песочный человек. Книга 1. Прелюдии и ноктюрны	комикс, 2010 год
Нил Гейман	The Sandman. Песочный человек. Книга 3. Страна снов	комикс, 2012 год
Нил Гейман	The Sandman. Песочный человек. Книга 2. Кукольный домик	комикс, 2011 год
Вероника Иванова	Звенья одной цепи	авторская книга, 2010 год
Вероника Иванова	Нити разрубленных узлов	авторская книга, 2011 год
Вероника Иванова	Горные дороги бога	авторская книга, 2012 год
Вероника Иванова	Берег Хаоса	авторская книга, 2006 год
Шимун Врочек	Дикий Талант	авторская книга, 2009 год
Саймон Грин	Убийства на улице Богов	авторская книга, 2004 год
Саймон Грин	Победитель забирает все	авторская книга, 2003 год
Саймон Грин	Плач соловья	авторская книга, 2006 год
Дарья Демченкова	Ожившие легенды	авторская книга, 2013 год
Стивен Браст	Орка. Дракон. Исола	авторская книга, 2003 год
Стивен Браст	Джарег. Йенди. Текла	авторская книга, 2002 год
Марк Лоуренс	Принц Терний	авторская книга, 2012 год
Роберт Джордан	Новая весна	авторская книга, 2007 год
Макс Брукс	Мировая война Z	авторская книга, 2008 год
Сергей Мусаниф	Подземная канцелярия	авторская книга, 2005 год
Денис Чекалов	Пламя клинка	авторская книга, 2013 год
Вадим Панов	В круге времен	авторская книга, 2013 год
Джо Аберкромби	Красная страна	авторская книга, 2014 год
Ханну Райаниеми	Квантовый вор	авторская книга, 2013 год
Кертис Джоблинг	Верлорды. Восхождение Волка	авторская книга, 2013 год
Майлз Камерон	Красный рыцарь	авторская книга, 2013 год
Алекс Орлов	Сокровища наместника	авторская книга, 2013 год
Крис Вудинг	Капитан Антракоз	авторская книга, 2013 год
Крис Вудинг	Железный Шакал	авторская книга, 2013 год
